,DBN,school_name,lat,lon,Num_of_SAT_Test_Takers,SAT_Critical_Reading_AvgScore,SAT_Math_AvgScore,SAT_Writing_AvgScore,,,,
350,21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,40.5876684,-73.9810291,54,326,386,314,,,,
351,21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,40.5935726,-73.985987,54,402,427,408,,,,
109,06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,40.8490987,-73.9311063,55,362,376,367,,,,
203,10X549,DISCOVERY HIGH SCHOOL,40.8741667,-73.8315222,55,372,379,364,,,,
224,11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,40.8363157,-73.8907414,55,383,378,365,,,,
369,23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,40.743204,-73.871482,55,361,371,359,,,,
377,24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,40.7376899,-73.8534401,55,317,323,311,,,,
61,02M560,HIGH SCHOOL M560 s CITY AS SCHOOL,40.7291091,-74.0060997,56,498,440,477,,,,
102,05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,40.8070626,-73.9388294,56,360,353,364,,,,
118,06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,40.8137231,-73.9206428,56,339,349,326,,,,
210,11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,40.8602833,-73.8603759,56,386,394,361,,,,
316,18K563,IT TAKES A VILLAGE ACADEMY,40.658679,-73.928761,56,313,320,330,,,,
191,10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,40.8595464,-73.8886017,57,370,371,365,,,,
222,11X541,GLOBAL ENTERPRISE HIGH SCHOOL,40.827733,-73.897018,57,372,382,375,,,,
228,12X251,EXPLORATIONS ACADEMY,40.8321278,-73.8777215,57,381,381,360,,,,
297,17K408,ACADEMY OF HOSPITALITY AND TOURISM,40.658665,-73.943838,57,352,342,351,,,,
340,19K639,BROOKLYN LAB SCHOOL,40.6271178,-74.0392943,57,360,385,363,,,,
12,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,40.7655356,-73.9931625,58,374,375,362,,,,
281,15K463,SECONDARY SCHOOL FOR JOURNALISM,40.6863861,-73.9797253,58,397,391,381,,,,
382,24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,40.724191,-73.80937,58,399,393,385,,,,
389,25Q252,"QUEENS SCHOOL OF INQUIRY, THE",40.7349867,-73.821365,58,455,498,443,,,,
43,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,40.7433679,-74.0025474,59,378,365,368,,,,
181,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,40.8595423,-73.8885964,59,405,391,394,,,,
280,15K462,SECONDARY SCHOOL FOR LAW,40.6428159,-73.9925243,59,398,411,394,,,,
296,17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,40.658665,-73.943838,59,396,374,369,,,,
391,25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,40.7253501,-73.8113253,59,416,463,392,,,,
433,29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,40.7712552,-73.924167,59,436,427,424,,,,
20,02M374,GRAMERCY ARTS HIGH SCHOOL,40.7353879,-73.987228,60,391,391,394,,,,
108,06M293,CITY COLLEGE ACADEMY OF THE ARTS,40.8336419,-73.9422627,60,408,446,416,,,,
214,11X299,ASTOR COLLEGIATE ACADEMY,40.8740679,-73.8323227,60,387,391,391,,,,
